month,arm,n,n_costed,CSR_ub,FR_ub,cost,S_med
2019-07-01,chronos2-zs,1926,1640,0.9200415368639667,0.9282339098469615,18.719252439024384,20.0
2019-07-01,emp-daily,1926,1640,0.897196261682243,0.902747782139163,20.5075157012195,17.0
2019-07-01,ddm,1926,1640,0.9761163032191069,0.9709002217578809,35.95469297459139,61.44476728220429
2019-08-01,chronos2-zs,1976,1729,0.9220647773279352,0.8376553066043939,63.111882874493865,19.0
2019-08-01,emp-daily,1976,1729,0.8876518218623481,0.7699911665058253,68.99382542317326,15.0
2019-08-01,ddm,1976,1729,0.9736842105263158,0.8722783317249346,78.86766152381901,59.68918352930123
