month,arm,policy,alpha,costing,n_series,n_costed,CSR,FR,cost_layerc,hold_layerc,short_layerc,avg_inventory,total_lost,S_median,n_violations
2019-07-01,chronos2-ft-full,P2,0.95,derived,1926,1640,0.891,0.8816,23.1292,10.9187,12.2105,41.47,8926.3,16.1,0
2019-07-01,chronos2-ft-full,P2,0.95,margin,1926,1640,0.891,0.8816,21.0009,10.9187,10.0822,41.47,8926.3,16.1,0
2019-07-01,chronos2-ft-full,P3,0.95,derived,1926,1640,0.8993,0.8851,22.9119,11.1858,11.7261,42.28,8659.0,17.0,0
2019-07-01,chronos2-ft-full,P3,0.95,margin,1926,1640,0.8993,0.8851,20.8746,11.1858,9.6888,42.28,8659.0,17.0,0
2019-07-01,chronos2-ft-full,P1,0.98,derived,1926,1640,0.9076,0.8924,39.2138,11.7107,27.5031,44.02,8107.0,19.0,0
2019-07-01,chronos2-ft-full,P1,0.98,margin,1926,1640,0.9076,0.8924,20.5225,11.7107,8.8118,44.02,8107.0,19.0,0
2019-07-01,chronos2-ft-full,P2,0.98,derived,1926,1640,0.9029,0.8947,38.8931,11.5351,27.358,43.84,7934.8,17.9,0
2019-07-01,chronos2-ft-full,P2,0.98,margin,1926,1640,0.9029,0.8947,20.3997,11.5351,8.8647,43.84,7934.8,17.9,0
2019-07-01,chronos2-ft-full,P3,0.98,derived,1926,1640,0.9107,0.9003,37.4463,11.9784,25.4679,45.24,7514.0,19.0,0
2019-07-01,chronos2-ft-full,P3,0.98,margin,1926,1640,0.9107,0.9003,20.2468,11.9784,8.2685,45.24,7514.0,19.0,0
2019-07-01,chronos2-ft-full-h32,P1,0.85,derived,1926,1640,0.8551,0.8442,14.6715,9.5728,5.0987,36.07,11743.0,13.0,0
2019-07-01,chronos2-ft-full-h32,P1,0.85,margin,1926,1640,0.8551,0.8442,23.4066,9.5728,13.8338,36.07,11743.0,13.0,0
2019-07-01,chronos2-ft-full-h32,P2,0.85,derived,1926,1640,0.8567,0.8534,14.5521,9.7236,4.8285,36.87,11047.9,13.0,0
2019-07-01,chronos2-ft-full-h32,P2,0.85,margin,1926,1640,0.8567,0.8534,22.9398,9.7236,13.2161,36.87,11047.9,13.0,0
2019-07-01,chronos2-ft-full-h32,P3,0.85,derived,1926,1640,0.8634,0.8539,14.5656,9.7448,4.8207,36.93,11014.0,13.0,0
2019-07-01,chronos2-ft-full-h32,P3,0.85,margin,1926,1640,0.8634,0.8539,22.9135,9.7448,13.1686,36.93,11014.0,13.0,0
2019-07-01,chronos2-ft-full-h32,P1,0.9,derived,1926,1640,0.8676,0.8559,17.2979,9.9015,7.3964,37.38,10863.0,14.0,0
2019-07-01,chronos2-ft-full-h32,P1,0.9,margin,1926,1640,0.8676,0.8559,22.6306,9.9015,12.7291,37.38,10863.0,14.0,0
2019-07-01,chronos2-ft-full-h32,P2,0.9,derived,1926,1640,0.8702,0.8633,17.0925,10.038,7.0545,38.11,10303.9,13.9,0
2019-07-01,chronos2-ft-full-h32,P2,0.9,margin,1926,1640,0.8702,0.8633,22.2991,10.038,12.2611,38.11,10303.9,13.9,0
2019-07-01,chronos2-ft-full-h32,P3,0.9,derived,1926,1640,0.8769,0.8649,17.047,10.0866,6.9604,38.31,10181.0,14.0,0
2019-07-01,chronos2-ft-full-h32,P3,0.9,margin,1926,1640,0.8769,0.8649,22.1821,10.0866,12.0955,38.31,10181.0,14.0,0
2019-07-01,chronos2-ft-full-h32,P1,0.95,derived,1926,1640,0.8879,0.8713,24.0602,10.5457,13.5146,39.71,9699.0,16.0,0
2019-07-01,chronos2-ft-full-h32,P1,0.95,margin,1926,1640,0.8879,0.8713,21.7212,10.5457,11.1756,39.71,9699.0,16.0,0
2019-07-01,chronos2-ft-full-h32,P2,0.95,derived,1926,1640,0.8837,0.8761,23.6849,10.5186,13.1664,40.02,9338.3,15.3,0
2019-07-01,chronos2-ft-full-h32,P2,0.95,margin,1926,1640,0.8837,0.8761,21.5095,10.5186,10.9909,40.02,9338.3,15.3,0
2019-07-01,chronos2-ft-full-h32,P3,0.95,derived,1926,1640,0.8925,0.8795,23.4052,10.7431,12.6621,40.7,9081.0,16.0,0
2019-07-01,chronos2-ft-full-h32,P3,0.95,margin,1926,1640,0.8925,0.8795,21.3272,10.7431,10.5841,40.7,9081.0,16.0,0
2019-07-01,chronos2-ft-full-h32,P1,0.98,derived,1926,1640,0.9024,0.8871,40.6387,11.221,29.4177,42.34,8511.0,18.0,0
2019-07-01,chronos2-ft-full-h32,P1,0.98,margin,1926,1640,0.9024,0.8871,20.8232,11.221,9.6022,42.34,8511.0,18.0,0
2019-07-01,chronos2-ft-full-h32,P2,0.98,derived,1926,1640,0.8956,0.8895,40.5846,11.0815,29.5031,42.24,8327.3,17.0,0
2019-07-01,chronos2-ft-full-h32,P2,0.98,margin,1926,1640,0.8956,0.8895,20.7809,11.0815,9.6994,42.24,8327.3,17.0,0
2019-07-01,chronos2-ft-full-h32,P3,0.98,derived,1926,1640,0.906,0.895,38.8511,11.4665,27.3846,43.46,7912.0,18.0,0
2019-07-01,chronos2-ft-full-h32,P3,0.98,margin,1926,1640,0.906,0.895,20.5215,11.4665,9.055,43.46,7912.0,18.0,0
2019-07-01,chronos2-ft-full-short,P1,0.85,derived,1926,1640,0.8557,0.8424,14.7444,9.6641,5.0803,36.16,11879.0,13.0,0
2019-07-01,chronos2-ft-full-short,P1,0.85,margin,1926,1640,0.8557,0.8424,23.3064,9.6641,13.6422,36.16,11879.0,13.0,0
2019-07-01,chronos2-ft-full-short,P2,0.85,derived,1926,1640,0.8557,0.8516,14.6171,9.8203,4.7968,36.98,11185.7,13.2,0
