arm,policy,alpha,costing,n_series,n_days,n_reviews,CSR,FR,avg_cost_per_series_day,avg_inventory,total_lost,S_median,n_violations
chronos2-ft-full-h32,P1,0.85,derived,1921,63,3,0.8338,0.7707,0.560978,32.82,37537.3,12.0,0
chronos2-ft-full-h32,P1,0.85,margin,1921,63,3,0.8338,0.7707,1.195653,32.82,37537.3,12.0,0
chronos2-ft-full-h32,P2,0.85,derived,1921,63,3,0.8345,0.7806,0.551628,33.67,35917.1,12.6,0
chronos2-ft-full-h32,P2,0.85,margin,1921,63,3,0.8345,0.7806,1.171405,33.67,35917.1,12.6,0
chronos2-ft-full-h32,P3,0.85,derived,1921,63,3,0.8405,0.7809,0.551093,33.73,35858.0,13.0,0
chronos2-ft-full-h32,P3,0.85,margin,1921,63,3,0.8405,0.7809,1.168923,33.73,35858.0,13.0,0
chronos2-ft-full-h32,P1,0.9,derived,1921,63,3,0.8473,0.784,0.783739,34.21,35362.0,13.0,0
chronos2-ft-full-h32,P1,0.9,margin,1921,63,3,0.8473,0.784,1.150765,34.21,35362.0,13.0,0
chronos2-ft-full-h32,P2,0.9,derived,1921,63,3,0.8471,0.792,0.771425,34.94,34040.8,13.6,0
chronos2-ft-full-h32,P2,0.9,margin,1921,63,3,0.8471,0.792,1.133559,34.94,34040.8,13.6,0
chronos2-ft-full-h32,P3,0.9,derived,1921,63,3,0.8548,0.7935,0.768598,35.13,33796.0,14.0,0
chronos2-ft-full-h32,P3,0.9,margin,1921,63,3,0.8548,0.7935,1.127782,35.13,33796.0,14.0,0
chronos2-ft-full-h32,P1,0.95,derived,1921,63,3,0.8692,0.8022,1.411291,36.59,32372.0,15.0,0
chronos2-ft-full-h32,P1,0.95,margin,1921,63,3,0.8692,0.8022,1.088464,36.59,32372.0,15.0,0
chronos2-ft-full-h32,P2,0.95,derived,1921,63,3,0.8641,0.8074,1.398232,36.89,31520.5,15.0,0
chronos2-ft-full-h32,P2,0.95,margin,1921,63,3,0.8641,0.8074,1.083767,36.89,31520.5,15.0,0
chronos2-ft-full-h32,P3,0.95,derived,1921,63,3,0.8744,0.8113,1.378734,37.58,30894.0,16.0,0
chronos2-ft-full-h32,P3,0.95,margin,1921,63,3,0.8744,0.8113,1.067337,37.58,30894.0,16.0,0
chronos2-ft-full-h32,P1,0.98,derived,1921,63,3,0.8881,0.8208,3.179336,39.28,29334.0,17.0,0
chronos2-ft-full-h32,P1,0.98,margin,1921,63,3,0.8881,0.8208,1.031439,39.28,29334.0,17.0,0
chronos2-ft-full-h32,P2,0.98,derived,1921,63,3,0.8811,0.8233,3.17517,39.15,28916.8,16.5,0
chronos2-ft-full-h32,P2,0.98,margin,1921,63,3,0.8811,0.8233,1.034271,39.15,28916.8,16.5,0
chronos2-ft-full-h32,P3,0.98,derived,1921,63,3,0.8948,0.8295,3.095266,40.35,27911.0,18.0,0
chronos2-ft-full-h32,P3,0.98,margin,1921,63,3,0.8948,0.8295,1.011162,40.35,27911.0,18.0,0
chronos2-ft-full-short,P1,0.85,derived,1921,63,3,0.8341,0.7696,0.559013,32.94,37705.0,13.0,0
chronos2-ft-full-short,P1,0.85,margin,1921,63,3,0.8341,0.7696,1.181058,32.94,37705.0,13.0,0
chronos2-ft-full-short,P2,0.85,derived,1921,63,3,0.8358,0.7797,0.549527,33.78,36055.0,12.8,0
chronos2-ft-full-short,P2,0.85,margin,1921,63,3,0.8358,0.7797,1.156976,33.78,36055.0,12.8,0
chronos2-ft-full-short,P3,0.85,derived,1921,63,3,0.8412,0.7803,0.549161,33.86,35958.0,13.0,0
chronos2-ft-full-short,P3,0.85,margin,1921,63,3,0.8412,0.7803,1.154068,33.86,35958.0,13.0,0
chronos2-ft-full-short,P1,0.9,derived,1921,63,3,0.8471,0.7832,0.78024,34.36,35484.0,14.0,0
chronos2-ft-full-short,P1,0.9,margin,1921,63,3,0.8471,0.7832,1.136587,34.36,35484.0,14.0,0
chronos2-ft-full-short,P2,0.9,derived,1921,63,3,0.8483,0.7914,0.767544,35.09,34141.8,13.8,0
chronos2-ft-full-short,P2,0.9,margin,1921,63,3,0.8483,0.7914,1.11917,35.09,34141.8,13.8,0
chronos2-ft-full-short,P3,0.9,derived,1921,63,3,0.8549,0.7932,0.764491,35.33,33847.0,14.0,0
chronos2-ft-full-short,P3,0.9,margin,1921,63,3,0.8549,0.7932,1.112875,35.33,33847.0,14.0,0
chronos2-ft-full-short,P1,0.95,derived,1921,63,3,0.8697,0.8018,1.402629,36.84,32434.0,16.0,0
chronos2-ft-full-short,P1,0.95,margin,1921,63,3,0.8697,0.8018,1.075318,36.84,32434.0,16.0,0
chronos2-ft-full-short,P2,0.95,derived,1921,63,3,0.866,0.807,1.389378,37.1,31598.0,15.3,0
chronos2-ft-full-short,P2,0.95,margin,1921,63,3,0.866,0.807,1.070473,37.1,31598.0,15.3,0
chronos2-ft-full-short,P3,0.95,derived,1921,63,3,0.8754,0.8112,1.368146,37.88,30902.0,16.0,0
chronos2-ft-full-short,P3,0.95,margin,1921,63,3,0.8754,0.8112,1.053167,37.88,30902.0,16.0,0
chronos2-ft-full-short,P1,0.98,derived,1921,63,3,0.8883,0.8204,3.155005,39.63,29389.0,18.0,0
chronos2-ft-full-short,P1,0.98,margin,1921,63,3,0.8883,0.8204,1.019133,39.63,29389.0,18.0,0
chronos2-ft-full-short,P2,0.98,derived,1921,63,3,0.8817,0.8229,3.150678,39.42,28984.3,17.0,0
chronos2-ft-full-short,P2,0.98,margin,1921,63,3,0.8817,0.8229,1.021695,39.42,28984.3,17.0,0
chronos2-ft-full-short,P3,0.98,derived,1921,63,3,0.8961,0.8293,3.071691,40.75,27934.0,18.0,0
chronos2-ft-full-short,P3,0.98,margin,1921,63,3,0.8961,0.8293,0.999271,40.75,27934.0,18.0,0
emp-daily,P1,0.85,derived,1921,63,3,0.8449,0.7598,0.583762,34.44,39317.0,13.0,0
emp-daily,P1,0.85,margin,1921,63,3,0.8449,0.7598,1.200687,34.44,39317.0,13.0,0
emp-daily,P2,0.85,derived,1921,63,3,0.844,0.7697,0.574519,35.29,37696.0,13.0,0
emp-daily,P2,0.85,margin,1921,63,3,0.844,0.7697,1.177274,35.29,37696.0,13.0,0
emp-daily,P3,0.85,derived,1921,63,3,0.8496,0.7699,0.574698,35.36,37668.0,13.0,0
emp-daily,P3,0.85,margin,1921,63,3,0.8496,0.7699,1.176365,35.36,37668.0,13.0,0
emp-daily,P1,0.9,derived,1921,63,3,0.8567,0.7733,0.813383,36.01,37100.0,14.0,0
emp-daily,P1,0.9,margin,1921,63,3,0.8567,0.7733,1.158055,36.01,37100.0,14.0,0
emp-daily,P2,0.9,derived,1921,63,3,0.8574,0.7814,0.800429,36.76,35776.0,14.4,0
