demand,policy,alpha,coverage,coverage_gap,gap_ci_lo,gap_ci_hi,exceedance_rate,mean_exceedance,exceed_ci_lo,exceed_ci_hi
logged_sales_Y,Chronos-2,0.95,0.882466960352423,-0.06753303964757695,-0.07651982378854616,-0.058898678414096906,0.117533039647577,7.851866079295154,4.6743348017621145,12.182121233480173
logged_sales_Y,Emp-retuned,0.95,0.8414096916299559,-0.10859030837004402,-0.1182819383259911,-0.09907488986784141,0.15859030837004406,9.04266079295154,5.717137444933921,13.476576651982379
logged_sales_Y,Chronos-2,0.98,0.9087224669603524,-0.07127753303964757,-0.07938325991189421,-0.06352422907488986,0.09127753303964758,7.110544493392069,4.003081585903084,11.404961850220264
logged_sales_Y,Emp-retuned,0.98,0.8724229074889868,-0.10757709251101322,-0.11691629955947136,-0.09841409691629954,0.12757709251101323,8.488651982378855,5.169700881057269,12.861639207048459
latent_demand_D,Chronos-2,0.95,0.7681585903083701,-0.18184140969162987,-0.1963583259911894,-0.1671665198237885,0.23184140969162992,24.78875950660793,17.638804057268725,33.99959430660793
latent_demand_D,Emp-retuned,0.95,0.7256704845814979,-0.2243295154185021,-0.2390294273127753,-0.20943876651982374,0.27432951541850215,27.24551369162996,19.823587728634365,36.50239308546255
latent_demand_D,Chronos-2,0.98,0.8034325991189426,-0.17656740088105738,-0.19029453744493388,-0.16305876651982373,0.1965674008810574,22.80535862555066,15.83143431894273,31.862576081057256
latent_demand_D,Emp-retuned,0.98,0.7653180616740088,-0.21468193832599114,-0.22913488986784142,-0.200066872246696,0.23468193832599116,25.534592105726873,18.218704672246695,34.691446535682815
