logging_target,censored_day_share,hidden_demand_share,true_high_minus_low_cost,true_ci_low,true_ci_high,logged_high_minus_low_cost,logged_ci_low,logged_ci_high,differential_bias,bias_ci_low,bias_ci_high,favors_lower_stock,ranking_reversal,n_paths,seed
22,9.3e-05,9.732407673225746e-05,-2.4630523333333336,-2.57299414861807,-2.3531105180485974,-2.4630523333333336,-2.57299414861807,-2.3531105180485974,-1.2789769243681803e-17,-2.3255454164902324e-17,-2.324084322461281e-18,False,False,10000,42
20,0.00045466666666666664,0.0004899533999877345,-2.4630523333333336,-2.57299414861807,-2.3531105180485974,-2.4630523333333336,-2.57299414861807,-2.3531105180485974,2.3092638912203255e-18,-1.5806254732993492e-17,2.0424782515434146e-17,False,False,10000,42
19,0.0009583333333333333,0.0010454561210622635,-2.4630523333333336,-2.57299414861807,-2.3531105180485974,-1.9870623333333333,-2.085208949962228,-1.8889157167044381,0.47598999999999997,0.45733395077242484,0.4946460492275751,True,False,10000,42
18,0.0019566666666666665,0.002148906726204708,-2.4630523333333336,-2.57299414861807,-2.3531105180485974,-1.0414816666666669,-1.1199923147973567,-0.9629710185359771,1.4215706666666668,1.3796656683062114,1.4634756650271221,True,False,10000,42
17,0.0038396666666666666,0.004246262799893699,-2.4630523333333336,-2.57299414861807,-2.3531105180485974,0.755962,0.7081598518986943,0.8037641481013057,3.2190143333333334,3.1468836734146834,3.2911449932519834,True,True,10000,42
16,0.007161,0.008031236140207109,-2.4630523333333336,-2.57299414861807,-2.3531105180485974,4.0,4.0,4.0,6.463052333333334,6.353110518048597,6.57299414861807,True,True,10000,42
