estimand,cadence,effect_pct,ci_lo,ci_hi,same_order_share,all_zero_share,n,n_series
monthly_reset_empty_pipeline_mar_oct,1,-1.684282384210441,-4.8608647342624725,0.7504117410687039,0.5238914843045652,0.4892631751495779,24402,1790
monthly_reset_empty_pipeline_mar_oct,7,-2.5826353724993125,-6.06891991627186,0.45720115203403455,0.41894107040406525,0.39550036882222767,24402,1790
monthly_reset_empty_pipeline_mar_oct,30,-2.8765515977600646,-7.1905387306971695,1.4301982783134968,0.2718219818047701,0.2496516678960741,24402,1790
carry_logged_pipeline_jul_oct,1,-1.1377384646447188,-6.823054144752982,6.144984151360299,0.26573006724303555,0.2059317963496638,8328,1041
carry_logged_pipeline_jul_oct,7,-3.560773125334288,-9.455540551368356,4.118886335218456,0.2450768491834774,0.21181556195965417,8328,1041
carry_logged_pipeline_jul_oct,30,-2.144310642366467,-10.217702713891489,10.495940923967689,0.33057156580211333,0.31448126801152737,8328,1041
