kappa_h,alpha_implied_p10,alpha_implied_p50,alpha_implied_p90
0.1,0.9388313579273109,0.9669301017004774,0.9867745484504697
0.15,0.910970008096395,0.9512020489930852,0.9802921470977375
0.2,0.8847146860889579,0.9359774854879856,0.973894360496284
0.25,0.859930414249505,0.9212326147099952,0.9675795426527652
0.3,0.8364969284392934,0.906945116560264,0.961346089991575
