month,arm,CSR_ub,FR_ub,cost,n,n_costed
2019-07-01,chronos2-C7,0.9932126696832579,0.8025392403707077,134.58293893298054,442,378
2019-07-01,chronos2-C14,0.9751131221719457,0.7826110248031285,106.58926499118161,442,378
2019-07-01,chronos2-C30,0.9615384615384616,0.7739326083462795,94.19616291887121,442,378
2019-07-01,chronos2-C60,0.9389140271493213,0.7626292387635936,90.90597993827156,442,378
2019-07-01,chronos2-C90,0.920814479638009,0.7545936679702148,90.61497795414459,442,378
2019-07-01,chronos2-full,0.920814479638009,0.7493973321904965,90.5911141975308,442,378
2019-07-01,emp-daily,0.8778280542986425,0.6616488991268012,101.3665745149911,442,378
2019-08-01,chronos2-C7,0.9870689655172413,0.964216530348687,68.4178162184189,464,409
2019-08-01,chronos2-C14,0.9741379310344828,0.936558329746018,41.57808048084758,464,409
2019-08-01,chronos2-C30,0.9461206896551724,0.9231058975462764,26.180552974735118,464,409
2019-08-01,chronos2-C60,0.9310344827586207,0.9252044769694361,21.21215586797065,464,409
2019-08-01,chronos2-C90,0.915948275862069,0.9172944468359879,22.327294621026883,464,409
2019-08-01,chronos2-full,0.9181034482758621,0.9067477399913905,22.560693969030137,464,409
2019-08-01,emp-daily,0.8512931034482759,0.7655510116229014,38.94427567237161,464,409
