alpha,lam,estimand,point,ci_lo,ci_hi,sim_lo,sim_hi,p_two_sided_pointwise,n_cells,n_clusters,n_draws,bootstrap_draws,natural_censoring_rate,recensor_fraction,recensor_rate_total,recensor_rate_scored_mean,recensor_rate_scored_sd,crit_r0r3,crit_adid
0.8,0.0,R₀,-5.220852499604619,-9.462912754984206,-0.5680763857801786,-11.43930617965043,0.9976011804411931,0.02995940081198376,5675,1135,50,50000,0.3530837004405286,0.0,0.0,0.0,0.0,2.7627351157571503,
0.8,0.0,R₃,4.934693652156616,0.04484133827932549,11.110177608315952,-2.8854963417728277,12.75488364608606,0.04751904961900762,5675,1135,50,50000,0.3530837004405286,0.0,0.0,0.0,0.0,2.7627351157571503,
0.8,0.0,A,10.155546151761236,6.690207564822048,14.769005671380762,4.160488849866106,16.150603453656366,3.999920001599968e-05,5675,1135,50,50000,0.3530837004405286,0.0,0.0,0.0,0.0,,2.8947897623465555
0.8,0.25,R₀,-4.487340231625577,-8.974931417597634,0.6303056953618069,-11.201747928837047,2.2270674655858924,0.07855842883142337,5675,1135,50,50000,0.3530837004405286,0.25,0.08821585903083701,0.09106607929515417,0.0020788745447010773,2.7627351157571503,
0.8,0.25,R₃,6.600868147124739,1.3761098021258371,13.274165984364824,-1.8114181390172472,15.013154433266726,0.009359812803743926,5675,1135,50,50000,0.3530837004405286,0.25,0.08821585903083701,0.09106607929515417,0.0020788745447010773,2.7627351157571503,
0.8,0.25,A,11.088208378750316,7.344848937649523,16.03877696414234,4.635658386581895,17.540758370918738,3.999920001599968e-05,5675,1135,50,50000,0.3530837004405286,0.25,0.08821585903083701,0.09106607929515417,0.0020788745447010773,,2.8947897623465555
0.8,0.25,DiD,-0.9326622269890805,-1.477949742036414,-0.4887031708784813,-1.6641078268959317,-0.20121662708222932,0.00011999760004799904,5675,1135,50,50000,0.3530837004405286,0.25,0.08821585903083701,0.09106607929515417,0.0020788745447010773,,2.8947897623465555
0.8,0.5,R₀,-3.734373652433646,-8.591750661159079,2.0171488488601645,-11.154861333877278,3.6861140290099867,0.16835663286734265,5675,1135,50,50000,0.3530837004405286,0.5,0.1765418502202643,0.18265022026431715,0.0021098002016327637,2.7627351157571503,
0.8,0.5,R₃,8.44743454126166,2.804108774118743,15.776423048346796,-0.7414877732214542,17.636356855744776,0.0014799704005919881,5675,1135,50,50000,0.3530837004405286,0.5,0.1765418502202643,0.18265022026431715,0.0021098002016327637,2.7627351157571503,
0.8,0.5,A,12.181808193695307,8.078393962098296,17.577184065138763,5.139999082589629,19.223617304800985,3.999920001599968e-05,5675,1135,50,50000,0.3530837004405286,0.5,0.1765418502202643,0.18265022026431715,0.0021098002016327637,,2.8947897623465555
