arm,policy,alpha,costing,n,CSR_ub,FR_ub,cost,hold,short_c,S_med,n_orders,avg_inv,lost_lb
always-zero,P2,0.85,derived,3363,0.7133511745465358,0.5269349874870626,28.78949490236891,5.396222977500248,23.393271924868667,0.0,4,29.611416889681834,76020.45
chronos2-ft-full,P3,0.85,derived,3363,0.8765982753493904,0.8514539848988486,18.20396817193643,7.464735327584498,10.739232844351934,16.0,1568,34.49866785608088,23871.0
chronos2-ft-full-short,P3,0.85,derived,3363,0.8670829616413916,0.8431402369965764,18.312455047080977,7.238390248785807,11.074064798295172,15.0,1527,33.95956586381207,25207.0
chronos2-ft-full-h32,P3,0.85,derived,3363,0.8673803151947665,0.8426984135676383,18.316048019625335,7.127609819605511,11.18843820001982,15.0,1502,33.822634552482896,25278.0
chronos2-zs,P3,0.85,derived,3363,0.8837347606303896,0.8543227257543482,18.761557088908713,8.171297647933391,10.590259440975318,18.0,1666,35.30494201605709,23410.0
emp-daily,P3,0.85,derived,3363,0.8498364555456438,0.8022062297352395,19.83859829715532,7.6797640717613245,12.158834225393992,16.0,1549,34.36961641391614,31785.0
gbdt-lean,P3,0.85,derived,3363,0.8569729408266429,0.7541867437040783,22.587545024614265,8.547776345524829,14.039768679089436,21.0,1826,34.824510853404696,39501.619999999995
always-zero,P3,0.85,derived,3363,0.7133511745465358,0.5269349874870626,28.78949490236891,5.396222977500248,23.393271924868667,0.0,4,29.611416889681834,76020.45
chronos2-ft-full,P1,0.9,derived,3363,0.8840321141837645,0.8525865463645772,24.49425995837051,7.617956211715731,16.876303746654777,17.0,1609,34.715289919714536,23689.0
chronos2-ft-full-short,P1,0.9,derived,3363,0.8739220933690157,0.8444968216093723,24.779229900882147,7.379559963326395,17.399669937555757,16.0,1573,34.162063633660416,24989.0
chronos2-ft-full-h32,P1,0.9,derived,3363,0.8742194469223907,0.8442665755971088,24.817889034592135,7.258668695609079,17.559220338983053,16.0,1558,34.01725245316681,25026.0
chronos2-zs,P1,0.9,derived,3363,0.8873030032708891,0.8556108588499847,25.034396071959563,8.402744644662505,16.631651427297058,19.0,1739,35.59991674100505,23203.0
emp-daily,P1,0.9,derived,3363,0.8542967588462682,0.8047762730613162,26.85894335117455,7.83514339577758,19.02379995539697,17.0,1591,34.630692833779364,31372.0
gbdt-lean,P1,0.9,derived,3363,0.8611358905738924,0.7566385525914251,30.951177472494802,8.82454872137972,22.12662875111508,22.0,1891,35.11457924472197,39107.619999999995
always-zero,P1,0.9,derived,3363,0.7133511745465358,0.5269349874870626,42.55024309346814,5.396222977500248,37.154020115967896,0.0,4,29.611416889681834,76020.45
chronos2-ft-full,P2,0.9,derived,3363,0.8843294677371395,0.8593333857119405,24.2556491279058,7.7280186576772305,16.52763047022857,17.005312177245212,1671,35.05176409137967,22604.798569546
chronos2-ft-full-short,P2,0.9,derived,3363,0.8751115075825157,0.8515124454677075,24.50028945584415,7.48527062043931,17.015018835404838,16.414096168530477,1644,34.47488309715805,23861.605522212885
chronos2-ft-full-h32,P2,0.9,derived,3363,0.8745168004757656,0.8513210984540718,24.54601286831249,7.364856831276534,17.18115603703596,15.764710517520044,1618,34.32838349917116,23892.354543379086
chronos2-zs,P2,0.9,derived,3363,0.8896818316978888,0.8623548086375249,24.796197685009346,8.523375574757283,16.27282211025206,19.348742952269117,1796,35.948529106910506,22119.262915105784
emp-daily,P2,0.9,derived,3363,0.856080880166518,0.8117230377829628,26.61131117190595,7.973148099326918,18.638163072579033,17.314833086569955,1671,34.926919512635294,30255.671025725533
gbdt-lean,P2,0.9,derived,3363,0.8617305976806423,0.7625962732063283,30.704969031467968,8.900027632490886,21.804941398977082,22.18335981785308,1953,35.34899052713483,38150.22811909688
always-zero,P2,0.9,derived,3363,0.7133511745465358,0.5269349874870626,42.55024309346814,5.396222977500248,37.154020115967896,0.0,4,29.611416889681834,76020.45
chronos2-ft-full,P3,0.9,derived,3363,0.8890871245911388,0.8609749686492052,24.196053768460704,7.795175757755972,16.400878010704734,17.0,1636,35.183324412726726,22341.0
chronos2-ft-full-short,P3,0.9,derived,3363,0.8822479928635147,0.8532212786146011,24.447472937853117,7.549059021706809,16.8984139161463,17.0,1603,34.598876003568236,23587.0
chronos2-ft-full-h32,P3,0.9,derived,3363,0.8810585786500149,0.8527483408596813,24.493752598870056,7.412870350877194,17.080882247992868,16.0,1584,34.42135593220339,23663.0
chronos2-zs,P3,0.9,derived,3363,0.8950341956586381,0.8640055039998088,24.757315786500154,8.61082113886411,16.146494647636043,20.0,1771,36.09426702349093,21854.0
