month,L,arm,n,n_costed,CSR_ub,FR_ub,cost,S_med
2019-07-01,1,chronos2-zs,1926,1640,0.9200415368639667,0.9282339098469615,18.719252439024384,20.0
2019-07-01,1,chronos2-ft-pinball,1926,1640,0.9122533748701973,0.920983427997722,18.564726473577227,17.0
2019-07-01,1,chronos2-ft-newsvendor,1926,1640,0.9065420560747663,0.921735836491511,17.977328404471535,17.0
2019-07-01,1,chronos2-ft-focused,1926,1640,0.9148494288681205,0.9231312122436288,18.29024918699186,18.0
2019-07-01,1,emp-daily,1926,1640,0.897196261682243,0.902747782139163,20.5075157012195,17.0
2019-07-01,7,chronos2-zs,1926,1640,0.9470404984423676,0.9625574173181726,16.606732367886174,23.0
2019-07-01,7,chronos2-ft-pinball,1926,1640,0.9340602284527518,0.9561140645804522,15.996767835365848,20.0
2019-07-01,7,chronos2-ft-newsvendor,1926,1640,0.9278296988577363,0.9562098256614799,15.325016209349588,19.0
2019-07-01,7,chronos2-ft-focused,1926,1640,0.9382139148494288,0.9581660877453313,15.83564766260162,20.0
2019-07-01,7,emp-daily,1926,1640,0.9257528556593977,0.9386855478334124,17.766898424796743,20.0
2019-07-01,14,chronos2-zs,1926,1640,0.9652128764278297,0.9773319841053022,16.805118648373984,27.0
2019-07-01,14,chronos2-ft-pinball,1926,1640,0.9620976116303219,0.9746096333732293,15.453779928861787,23.0
2019-07-01,14,chronos2-ft-newsvendor,1926,1640,0.952232606438214,0.9722292865019695,14.648082469512191,22.0
2019-07-01,14,chronos2-ft-focused,1926,1640,0.9636552440290758,0.9750473983150701,15.468028658536582,24.0
2019-07-01,14,emp-daily,1926,1640,0.9485981308411215,0.9626531783992003,16.70645370934959,22.0
2019-08-01,1,chronos2-zs,1976,1729,0.9220647773279352,0.8376553066043939,63.111882874493865,19.0
2019-08-01,1,chronos2-ft-pinball,1976,1729,0.917004048582996,0.8322833603180371,62.784654322344274,17.0
2019-08-01,1,chronos2-ft-newsvendor,1976,1729,0.9180161943319838,0.8335032397872306,63.742239535376854,17.0
2019-08-01,1,chronos2-ft-focused,1976,1729,0.9210526315789473,0.8356632098565366,62.58754366107572,17.0
2019-08-01,1,emp-daily,1976,1729,0.8876518218623481,0.7699911665058253,68.99382542317326,15.0
2019-08-01,7,chronos2-zs,1976,1729,0.9493927125506073,0.8729758534371894,59.86585255831883,22.0
2019-08-01,7,chronos2-ft-pinball,1976,1729,0.9463562753036437,0.8672569689531722,59.077424806246334,19.0
2019-08-01,7,chronos2-ft-newsvendor,1976,1729,0.9397773279352226,0.8677717804722813,59.99687607865813,19.0
2019-08-01,7,chronos2-ft-focused,1976,1729,0.9483805668016194,0.8697526856653754,59.042284117987236,20.0
2019-08-01,7,emp-daily,1976,1729,0.9134615384615384,0.8159324988089388,64.26144408521299,18.0
2019-08-01,14,chronos2-zs,1976,1729,0.9655870445344129,0.9009211656810078,58.13297963948328,25.0
2019-08-01,14,chronos2-ft-pinball,1976,1729,0.9645748987854251,0.8974070174853495,56.6472251243493,22.0
2019-08-01,14,chronos2-ft-newsvendor,1976,1729,0.9620445344129555,0.8966907579805019,57.570952841719645,22.0
2019-08-01,14,chronos2-ft-focused,1976,1729,0.9691295546558705,0.8987164293926488,56.81968524966257,23.0
2019-08-01,14,emp-daily,1976,1729,0.9362348178137652,0.8554946448970036,60.59881959128585,20.0
