estimand,effect,ci_low,ci_high,p_two_sided,unit
fixed_one_day,-3.462405008489897,-10.709073845234958,6.397121558277504,0.5697430256974303,percent
sku_history_normal_lead_time,-3.9164239269507988,-11.020958592477072,5.591501935389051,0.49335066493350666,percent
difference,-0.4540189184609016,-1.0691379627910211,-0.19272260925608,0.00019998000199980003,percentage_points
